CRIM,AGE,RM,INDUS,NOX,DIS,TAX,PTRATIO,LSTAT,MEDV
0.00632,65.2,6.575,2.31,0.538,4.09,296,15.3,4.98,24
0.02731,78.9,6.421,7.07,0.469,4.9671,242,17.8,9.14,21.6
0.02729,61.1,7.185,7.07,0.469,4.9671,242,17.8,4.03,34.7
0.03237,45.8,6.998,2.18,0.458,6.0622,222,18.7,2.94,33.4
0.06905,54.2,7.147,2.18,0.458,6.0622,222,18.7,5.33,36.2
0.02985,58.7,6.43,2.18,0.458,6.0622,222,18.7,5.21,28.7
0.08829,66.6,6.012,7.87,0.524,5.5605,311,15.2,12.43,22.9
0.14455,96.1,6.172,7.87,0.524,5.9505,311,15.2,19.15,27.1
0.21124,100,5.631,7.87,0.524,6.0821,311,15.2,29.93,16.5
0.17004,85.9,6.004,7.87,0.524,6.5921,311,15.2,17.1,18.9
0.22489,94.3,6.377,7.87,0.524,6.3467,311,15.2,20.45,15
0.11747,82.9,6.009,7.87,0.524,6.2267,311,15.2,13.27,18.9
0.09378,39,5.889,7.87,0.524,5.4509,311,15.2,15.71,21.7
0.62976,61.8,5.949,8.14,0.538,4.7075,307,21,8.26,20.4
0.63796,84.5,6.096,8.14,0.538,4.4619,307,21,10.26,18.2
0.62739,56.5,5.834,8.14,0.538,4.4986,307,21,8.47,19.9
1.05393,29.3,5.935,8.14,0.538,4.4986,307,21,6.58,23.1
0.7842,81.7,5.99,8.14,0.538,4.2579,307,21,14.67,17.5
0.80271,36.6,5.456,8.14,0.538,3.7965,307,21,11.69,20.2
0.7258,69.5,5.727,8.14,0.538,3.7965,307,21,11.28,18.2
1.25179,98.1,5.57,8.14,0.538,3.7979,307,21,21.02,13.6
0.85204,89.2,5.965,8.14,0.538,4.0123,307,21,13.83,19.6
1.23247,91.7,6.142,8.14,0.538,3.9769,307,21,18.72,15.2
0.98843,100,5.813,8.14,0.538,4.0952,307,21,19.88,14.5
0.75026,94.1,5.924,8.14,0.538,4.3996,307,21,16.3,15.6
0.84054,85.7,5.599,8.14,0.538,4.4546,307,21,16.51,13.9
0.67191,90.3,5.813,8.14,0.538,4.682,307,21,14.81,16.6
0.95577,88.8,6.047,8.14,0.538,4.4534,307,21,17.28,14.8
0.77299,94.4,6.495,8.14,0.538,4.4547,307,21,12.8,18.4
1.00245,87.3,6.674,8.14,0.538,4.239,307,21,11.98,21
1.13081,94.1,5.713,8.14,0.538,4.233,307,21,22.6,12.7
1.35472,100,6.072,8.14,0.538,4.175,307,21,13.04,14.5
1.38799,82,5.95,8.14,0.538,3.99,307,21,27.71,13.2
1.15172,95,5.701,8.14,0.538,3.7872,307,21,18.35,13.1
1.61282,96.9,6.096,8.14,0.538,3.7598,307,21,20.34,13.5
0.06417,68.2,5.933,5.96,0.499,3.3603,279,19.2,9.68,18.9
0.09744,61.4,5.841,5.96,0.499,3.3779,279,19.2,11.41,20
0.08014,41.5,5.85,5.96,0.499,3.9342,279,19.2,8.77,21
0.17505,30.2,5.966,5.96,0.499,3.8473,279,19.2,10.13,24.7
0.02763,21.8,6.595,2.95,0.428,5.4011,252,18.3,4.32,30.8
0.03359,15.8,7.024,2.95,0.428,5.4011,252,18.3,1.98,34.9
0.12744,2.9,6.77,6.91,0.448,5.7209,233,17.9,4.84,26.6
0.1415,6.6,6.169,6.91,0.448,5.7209,233,17.9,5.81,25.3
0.15936,6.5,6.211,6.91,0.448,5.7209,233,17.9,7.44,24.7
0.12269,40,6.069,6.91,0.448,5.7209,233,17.9,9.55,21.2
0.17142,33.8,5.682,6.91,0.448,5.1004,233,17.9,10.21,19.3
0.18836,33.3,5.786,6.91,0.448,5.1004,233,17.9,14.15,20
0.22927,85.5,6.03,6.91,0.448,5.6894,233,17.9,18.8,16.6
0.25387,95.3,5.399,6.91,0.448,5.87,233,17.9,30.81,14.4
0.21977,62,5.602,6.91,0.448,6.0877,233,17.9,16.2,19.4
